Generation,AverageFitness,MaxFitness
504,11265.100601,11394.924618
505,9535.219169,9721.811896
506,11838.455601,12104.792672
507,10667.944023,10745.439380
508,10132.052437,10305.061986
509,12711.576395,12954.618150
510,12856.453700,13075.116701
511,10176.661860,10346.281689
512,13034.425824,13204.199949
513,12873.984637,13045.481331
514,11914.240643,12021.624155
515,12242.030028,12408.821864
516,10695.314735,10939.020948
517,12853.916932,13248.996809
518,11380.695434,11631.901304
519,11024.794060,11459.968267
520,11776.495022,11964.134824
521,12020.894175,12318.953850
522,13218.051092,13648.533046
523,12901.321493,13083.063762
524,11783.990099,11937.249251
525,11059.027646,11442.037270
526,12350.401843,12595.371542
527,12360.527294,12546.768381
528,11807.543612,12002.789967
529,13677.873240,14256.784142
530,13707.887662,14067.459629
531,13395.241954,13620.766548
532,12778.079767,12969.546128
533,11772.244108,12053.846474
534,12854.163554,13026.834207
535,11516.283485,11793.818306
536,14408.867176,14755.396517
537,13310.010225,13531.495851
538,14339.343906,14671.147890
539,12155.322098,12309.247553
540,10640.517534,10807.049458
541,12232.948068,12335.884205
542,12476.042829,13378.675675
543,13631.606739,14217.564810
544,13048.233607,13311.974865
545,13464.129786,13685.907149
546,14366.499167,15048.158724
547,10773.179163,10996.887417
548,11427.898368,11600.330884
549,10890.410763,11002.092671
550,10867.308070,11056.199056
551,10589.039230,10735.136150
552,13058.947669,13339.168359
553,12900.298853,13082.359437
554,10448.050732,10588.412475
555,13368.633466,13616.472001
556,11588.501884,11915.981217
557,11236.987312,11356.219096
558,12331.953494,12482.115339
559,12355.664466,12959.450595
560,12194.190335,12445.513731
561,13516.029864,13690.033400
562,12745.631861,13126.049391
563,12035.458745,12407.366027
564,13175.384000,13408.931316
565,13531.390261,13917.127063
566,13582.406151,13837.700155
567,11611.722925,11887.671048
568,12607.654632,12779.011543
569,11328.100505,11498.581781
570,9980.712995,10054.550477
571,13279.854986,13438.650152
572,11950.151837,12157.253386
573,11964.384720,12067.630706
574,12026.602054,12159.833483
575,13653.701045,13849.873331
576,11914.578553,12205.743813
577,12444.588020,12635.268954
578,10792.279368,10942.243168
579,15174.363343,15502.183731
580,11956.615414,12150.072250
581,14363.909692,14697.904200
582,13175.968881,13576.208529
583,11509.158023,11810.882967
584,10566.156083,10739.737416
585,10700.314721,10816.056397
586,13464.948296,13709.013755
587,11985.113240,12298.629840
588,11576.802622,11706.836007
589,13221.208843,13382.029166
590,13064.550583,13199.958011
591,13006.948652,13145.928213
592,13007.257767,13264.425548
593,13621.464986,13784.403723
594,14581.873395,15075.173519
595,11984.245469,12130.636926
596,13279.908426,13408.898632
597,11919.094155,12192.294140
598,11962.977551,12112.317284
599,11335.123483,11411.254546
600,12622.217341,12798.976818
601,15241.897072,15586.608230
602,11573.716128,11816.403400
603,12547.333167,12653.370067
604,12503.943676,12648.327362
605,11268.227407,11506.227276
606,11434.604285,11832.435880
607,11890.701079,11982.345854
608,12371.621513,12559.956173
609,13332.725276,13480.368527
610,12041.799109,12164.463126
611,13648.593666,13757.858764
612,12441.100448,12561.433982
613,10510.585410,10612.777674
614,13536.867516,13889.819565
615,10984.041411,11045.948301
616,10969.280740,11112.360172
617,12478.198367,12736.389499
618,11239.745762,11326.599434
619,12858.065268,13018.930058
620,12680.968633,12855.526768
621,12417.315820,12830.228509
622,12448.102997,12552.149100
623,11940.645276,12030.622600
624,13308.993958,13445.960200
625,13819.332737,13984.037284
626,13805.510797,14252.312738
627,11903.379045,11988.549244
628,12939.276627,13098.324154
629,12023.898884,12106.235135
630,13332.194726,13489.953886
631,13044.083080,13249.432253
632,11238.231804,11409.874805
633,11749.447809,11838.192860
634,12214.902492,12443.005040
635,13455.561067,13897.157869
636,13283.057140,13468.342075
637,12403.583879,12515.127779
638,13054.815517,13265.711352
639,13256.230295,13458.444089
640,13296.172605,13475.724300
641,11038.478615,11172.686884
642,11576.060241,11755.148319
643,13810.149924,14064.936207
644,13233.805859,13517.049575
645,13770.499335,13887.224263
646,11555.508875,11651.305105
647,12614.518555,12772.853590
648,12577.818911,12687.371600
649,13790.362160,13932.074521
650,13821.449818,14233.968098
651,11321.230381,11496.935698
652,12238.426458,12411.838282
653,12367.007033,12553.568914
654,14118.866277,14271.682776
655,14353.312264,14564.741495
656,10015.898590,10405.404144
657,12056.628735,12157.087652
658,12894.635729,13005.173452
659,12243.626277,12367.862145
660,13656.735242,13821.338698
661,11629.691607,11899.700472
662,11992.043994,12108.262298
663,12650.467502,12817.052891
664,13154.430297,13337.813177
665,13228.866355,13433.992434
666,12936.006430,13051.594859
667,11841.301507,11990.972969
668,14031.916702,14133.943913
669,13598.411309,13730.681198
670,8290.952952,8386.227617
671,12052.794066,12156.967403
672,12028.645517,12156.358073
673,12002.163447,12193.478108
674,11605.059720,11730.403994
675,13155.093289,13247.110407
676,13766.420604,13986.251037
677,11854.668197,12045.258016
678,12663.398599,12814.747910
679,12492.875290,12666.617588
680,11013.712354,11179.346701
681,12123.066740,12187.136607
682,11378.381214,11562.687869
683,13604.713189,13807.049383
684,13771.306128,14101.129802
685,11991.542002,12157.548706
686,10088.570668,10184.206066
687,13395.178864,13735.457139
688,12699.316325,12886.833492
689,12517.406428,12596.508434
690,12891.121801,13124.392052
691,11081.905809,11191.233229
692,11384.117744,11615.933375
693,12525.614076,12629.716028
694,12590.675302,12765.942623
695,12435.436085,12581.350932
696,12537.460394,12663.515847
697,12427.126625,12612.721129
698,12880.844675,13000.435070
699,10745.132987,10822.850565
700,11502.447676,11580.586108
701,11808.125169,11915.552534
702,13630.344075,13770.272872
703,13923.286468,14187.490762
704,12749.852505,12911.484379
705,12555.585309,12835.519933
706,11730.436192,11857.328257
707,12461.564094,12620.181905
708,13388.880867,13570.702876
709,11778.988854,11914.404616
710,12724.592773,12895.801733
711,13198.384578,13357.138854
712,12675.011232,12914.103251
713,11475.488298,11648.250276
714,12378.306852,12525.217484
715,11321.470881,11389.864482
716,11909.994374,12002.020214
717,13430.328040,13679.156717
718,11970.370300,12232.305154
719,13229.112052,13390.363586
720,12717.480615,12923.808603
721,11573.320535,11680.618863
722,11717.059544,11843.162821
723,11921.526404,12079.612836
724,11407.449653,11504.571505
725,11369.874892,11461.078192
726,13964.443597,14172.020207
727,11913.907200,12056.548671
728,10759.858679,10859.788851
729,13048.096226,13176.710551
730,14630.783107,14804.239142
731,12175.247459,12305.251488
732,12229.739716,12320.724573
733,13822.556334,14368.995513
734,11725.598027,11806.197600
735,12232.187792,12359.292768
736,11797.620682,11970.732289
737,13118.668513,13327.273451
738,13482.862055,13647.419989
739,10792.289214,10915.372420
740,13117.529457,13253.432518
741,13185.538976,13319.921916
742,13650.779342,13907.576863
743,10408.299944,10540.591119
744,11981.724101,12437.389446
745,13371.741733,13623.663176
746,12320.776662,12518.663703
747,11396.292907,11506.230960
748,13616.263213,13754.441374
749,11936.288965,12118.825395
750,12222.334245,12343.379275
751,12793.472517,12974.336442
752,13467.703444,13621.061716
753,11965.216283,12152.736918
754,14033.351056,14192.555593
755,14969.234125,15216.075974
756,11925.960337,12066.375215
757,12968.360179,13226.237507
758,11027.938764,11181.509174
759,11503.515256,11670.144300
760,11842.945972,11974.592264
761,13476.978169,13917.086905
762,10563.628554,10693.385456
763,11615.191612,11745.957435
764,11037.487679,11105.481699
765,12157.794615,12309.321804
766,13432.480035,13561.050555
767,13711.730131,13916.463383
768,13301.745076,13491.853567
769,11785.535850,11867.899603
770,12960.851702,13089.650622
771,12124.994190,12313.979745
772,12406.990209,12892.003805
773,12900.257583,13016.035942
774,11817.545910,11960.069759
775,14196.313844,14368.134236
776,12980.655450,13202.589809
777,11756.042410,11906.728926
778,11943.055637,12179.423171
779,12963.392149,13083.642642
780,12233.199215,12352.563484
781,13200.414201,13328.896396
782,11164.673474,11293.926499
783,14363.992127,14544.197381
784,12702.841927,12818.455186
785,12848.695555,13042.121633
786,10470.810231,10703.364854
787,13186.014095,13427.141903
788,11133.808033,11241.809956
789,14195.891883,14391.589537
790,12636.450301,12839.881647
791,14497.885418,14695.232624
792,11857.201810,12064.796309
793,11892.852755,12008.496767
794,13389.912445,13799.356468
795,12703.782975,12922.125135
796,12090.504271,12215.394495
797,13347.745449,13480.037615
798,13267.778827,13474.187211
799,13355.221939,13736.554734
800,12531.637409,12737.043604
801,12432.542611,12576.219026
802,12112.604326,12244.859067
803,10937.788924,11023.942750
804,13843.520325,14095.003685
805,12523.129393,12696.662777
806,13949.427109,14105.656086
807,10948.917646,11080.537005
808,13506.975679,13723.929342
809,14032.659469,14182.978484
810,13872.361030,14231.239849
811,11380.808658,11552.860720
812,13501.473996,13822.128437
813,13679.229683,13851.760122
814,11913.022523,12106.644278
815,11423.014047,11550.333739
816,12176.881840,12352.105906
817,11555.610467,11695.890337
818,12465.034667,12876.946607
819,12682.229624,12972.233374
