Generation,TimeSeconds
350,5.821000
351,4.719000
352,3.650000
353,4.553000
354,3.373000
355,5.373000
356,5.353000
357,5.389000
358,3.882000
359,3.744000
360,4.483000
361,3.760000
362,5.147000
363,3.621000
364,5.567000
365,5.069000
366,4.001000
367,5.992000
368,5.267000
369,2.494000
370,5.189000
371,2.640000
372,6.200000
373,5.524000
374,6.045000
375,5.424000
376,3.899000
377,5.612000
378,4.885000
379,4.596000
380,2.905000
381,4.616000
382,4.371000
383,3.972000
384,7.322000
385,4.440000
386,5.268000
387,4.066000
388,5.188000
389,3.684000
390,4.821000
391,5.778000
392,7.916000
393,4.570000
394,4.035000
395,4.106000
396,4.248000
397,5.327000
398,2.465000
399,1.811000
400,5.791000
401,3.506000
402,2.940000
403,4.084000
404,2.997000
405,4.628000
406,3.304000
407,3.174000
408,3.130000
409,3.381000
410,4.725000
411,2.898000
412,3.421000
413,3.645000
414,3.869000
415,4.550000
416,4.983000
417,3.523000
418,3.213000
419,3.776000
420,4.036000
421,3.981000
422,4.396000
423,4.022000
424,3.819000
425,3.390000
426,4.880000
427,3.031000
428,2.840000
429,3.257000
430,3.623000
431,2.090000
432,5.637000
433,2.506000
434,5.263000
435,3.201000
436,5.473000
437,3.443000
438,3.984000
439,4.503000
440,4.524000
441,3.664000
442,3.016000
443,3.257000
444,5.970000
445,4.429000
446,5.281000
447,4.243000
448,4.857000
449,3.196000
450,3.172000
451,1.741000
452,5.347000
453,4.341000
454,4.276000
455,3.868000
456,4.819000
457,4.669000
458,3.043000
459,2.708000
460,5.306000
461,4.627000
462,2.010000
463,5.049000
464,3.930000
465,3.441000
466,4.012000
467,4.438000
468,3.189000
469,4.773000
470,3.968000
471,4.836000
472,3.819000
473,4.540000
474,3.759000
475,3.813000
476,5.429000
477,2.662000
478,3.081000
479,3.622000
480,5.191000
481,4.603000
482,5.541000
483,5.265000
484,5.226000
485,4.852000
486,3.507000
487,6.233000
488,3.024000
489,5.019000
490,4.811000
491,4.771000
492,4.542000
493,2.978000
494,6.599000
495,5.499000
496,4.355000
497,2.089000
498,4.488000
499,4.230000
500,5.517000
501,3.110000
502,3.582000
503,2.428000
504,5.128000
505,4.076000
506,4.161000
507,4.189000
508,4.261000
509,5.375000
510,5.616000
511,2.753000
512,4.560000
513,6.256000
514,4.493000
515,3.990000
516,4.908000
517,5.123000
518,5.163000
519,2.482000
520,5.273000
521,5.382000
522,4.888000
523,3.908000
524,5.819000
525,4.300000
526,3.797000
527,4.197000
528,3.849000
529,4.175000
530,2.918000
531,2.832000
532,3.875000
533,4.484000
534,3.091000
535,4.066000
536,4.384000
537,3.732000
538,3.580000
539,4.224000
540,5.110000
541,4.957000
542,4.551000
543,3.809000
544,3.837000
545,3.506000
546,3.084000
547,3.510000
548,4.434000
549,3.374000
550,2.725000
551,3.513000
552,5.039000
553,3.825000
554,4.114000
555,3.666000
556,4.308000
